,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
241156,770608662142328833,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,"Воронеж, Воронежская область",Ограниченные умы видят ограниченность только в других,https://t.co/b3ZoxTvWFU,316,313,2015-10-21,ru,ru,В Ростове-на-Дону объявили конкурс на лучшее селфи с избирательного участка https://t.co/E4bzio0KvB https://t.co/G92zYF9vV4,2016-08-30 13:06,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/M8LGRW'],[]
158634,727117849949536256,4218459574,РосОпрос,Ros_Opros,,ВЦИОМ в подполье. Независимо изучаем общественное мнение,,75015,75010,2015-11-18,ru,ru,"#РосОпрос: ""Считаете ли Вы Пасху особым праздником?"" #Опрос #Пасха #Россия",2016-05-02 12:49,Twitter Web Client,,,,False,,,absent,absent,0,0,0,10,"['РосОпрос', 'Опрос', 'Пасха', 'Россия']",[],[]
300939,735722089223585793,3176135580,Бабский список дел,twihussy,,"Перечитывать список много раз, ужасаться, как много еще нужно сделать. По вопросам сотрудничества twittershop@yandex.ru",,834415,27,2015-04-26,ru,ru,RT @InsiderPro_Ru: Сын вице-президента Лукойла извинился за гонки с полицией https://t.co/S7u6Z20oC9  Удалил аккаунт в Periscope и очень ра…,2016-05-26 06:39,Hootsuite,,,,True,,7.356949081288212e+17,absent,absent,0,0,0,0,[],['http://buff.ly/1OYPZj6'],['2574974089']
56079,886874404394868736,dJHPzmzakqBQg2NlNQAPzcq7wUsd2oWdaOrQ53xNx9Q=,dJHPzmzakqBQg2NlNQAPzcq7wUsd2oWdaOrQ53xNx9Q=,dJHPzmzakqBQg2NlNQAPzcq7wUsd2oWdaOrQ53xNx9Q=,"Воронеж, Россия",Никто не умрёт девственником. Жизнь всех поимеет,https://t.co/0FMXi3IR60,7,35,2017-02-16,ru,ru,#ЕР36 #ЕРВоронеж О реализации партийного проекта «Театры малых городов» в Воронежской области можно узнать на сайте https://t.co/Nr4ts57MeC https://t.co/Vxsi1ZUEBa,2017-07-17 09:05,SMMplanner,,,,False,,,absent,absent,0,0,0,0,"['ЕР36', 'ЕРВоронеж']",['http://voronezh.er.ru/news/regional_news/'],[]
256532,1009648352990904320,805433712368373760,Интересная Россия,interesno_rus,"Москва, Россия",Открой Россию заново!,,32129,14968,2016-12-04,ru,ru,"""Милое, дорогое, незабвенное детство! Отчего оно, это навеки ушедшее, невозвратное время, отчего оно кажется светлее, праздничнее и богаче, чем было на самом деле?"" 

А.П.Чехов https://t.co/S5azVT3I06",2018-06-21 04:05,TweetDeck,,,,False,,,absent,absent,2,6,170,81,[],[],[]
15594,695584957947719680,R2VszeqKyGgGD7FVxBRB3ZGxQmshFK1fumhf3QoYKE=,R2VszeqKyGgGD7FVxBRB3ZGxQmshFK1fumhf3QoYKE=,R2VszeqKyGgGD7FVxBRB3ZGxQmshFK1fumhf3QoYKE=,"Воронежская область, Россия","Оптимист вовсе не тот, кто никогда не страдал, а тот кто пережил отчаяние и победил его #взаимно",https://t.co/mffaLVmatc,806,824,2015-10-06,ru,ru,В Лондоне усомнились в компетентности оценки ООН относительно Ассанжа https://t.co/oiHyy9oV1Z https://t.co/dtA0A8cBP6,2016-02-05 12:29,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/KQZnkx'],[]
203772,666193016374214656,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,Россия,"Чудеса случаются, когда ты рискуешь всем ради мечты, которую кроме тебя не видит никто. Нужно просто верить.",,574,367,2015-10-21,ru,ru,Рождественский мультфильм о неудачливом коте собрал почти 8 миллионов просмотров https://t.co/oPeuUMT0sJ https://t.co/ZAXQA9akDx,2015-11-16 09:56,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/Cll43S'],[]
79550,923859428184555520,cYv3Do4IMKFIkpMBVNMhyo4P2xkbWjIwwf0pXiHfUU=,cYv3Do4IMKFIkpMBVNMhyo4P2xkbWjIwwf0pXiHfUU=,cYv3Do4IMKFIkpMBVNMhyo4P2xkbWjIwwf0pXiHfUU=,"Онега, Архангельская область",Гармония в душе - любить свою семью и Родину,,393,609,2015-11-27,ru,ru,"RT @V631iWxJJeeldJNWVClHicMTNQnmYuOFnzKpkTawKs=: Как думаете, с русским языком у неё проблема или с биологией? https://t.co/MvGXpFGocw",2017-10-27 10:30,Twitter Web Client,,,,True,785451174254243840,9.238385852033188e+17,absent,absent,0,0,0,0,[],[],['V631iWxJJeeldJNWVClHicMTNQnmYuOFnzKpkTawKs=']
127212,606766866980290560,3305576818,Я тебя хочу [18+],irealywantu,,,,153445,26,2015-06-01,ru,ru,"Негодую с лика горничной моей в каске похабной желтой http://t.co/VcY3PQZLb4 ибо ей за сей портрет дважды засандулить посулили, а мне нет!",2015-06-05 10:17,Twitter Web Client,,,,False,,,absent,absent,0,0,8,3,[],['http://www.prestigehouse.ru/'],[]
107953,664420643153117185,R2VszeqKyGgGD7FVxBRB3ZGxQmshFK1fumhf3QoYKE=,R2VszeqKyGgGD7FVxBRB3ZGxQmshFK1fumhf3QoYKE=,R2VszeqKyGgGD7FVxBRB3ZGxQmshFK1fumhf3QoYKE=,"Воронежская область, Россия","Оптимист вовсе не тот, кто никогда не страдал, а тот кто пережил отчаяние и победил его #взаимно",https://t.co/mffaLVmatc,806,824,2015-10-06,ru,ru,Майли Сайрус снялась обнаженной ради геев и лесбиянок https://t.co/LgpKzGq6vM https://t.co/XbR19zdf8t,2015-11-11 12:33,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/CjZqY4'],[]
